Experiment Directory: /mnt/c/Users/rcham/Documents/Git/tomcat/human_experiments/lab_software/data_inventory/

Status            |Description                                 |Directory                       |File(s)                   |Min_Size|Max_Size|Min_Count|Max_Count|File_Size|File_Count|
------------------|--------------------------------------------|--------------------------------|--------------------------|--------|--------|---------|---------|---------|----------|
Face Images:                                                   |                                |                          |        |        |         |         |         |          |
X Dir Not Exist   |Tiger Pupil 000 - info.player.json          |tiger/pupil_recorder/000        |info.player.json          |100     |800     |1        |1        |(no dir) |(no dir)  |
X Dir Not Exist   |Tiger Pupil 000 - notify.pldata             |tiger/pupil_recorder/000        |notify.pldata             |1M      |5M      |1        |1        |(no dir) |(no dir)  |
X Dir Not Exist   |Tiger Pupil 000 - notify_timestamps.npy     |tiger/pupil_recorder/000        |notify_timestamps.npy     |100     |400     |1        |1        |(no dir) |(no dir)  |
X Dir Not Exist   |Tiger Pupil 000 - pupil.pldata              |tiger/pupil_recorder/000        |pupil.pldata              |100M    |800M    |1        |1        |(no dir) |(no dir)  |
X Dir Not Exist   |Tiger Pupil 000 - pupil_timestamps.npy      |tiger/pupil_recorder/000        |pupil_timestamps.npy      |2M      |12M     |1        |1        |(no dir) |(no dir)  |
X Dir Not Exist   |Tiger Pupil 000 - surface_definitions_v01   |tiger/pupil_recorder/000        |surface_definitions_v01   |500     |3K      |1        |1        |(no dir) |(no dir)  |
X Dir Not Exist   |Tiger Pupil 000 - surfaces.pldata           |tiger/pupil_recorder/000        |surfaces.pldata           |80M     |300M    |1        |1        |(no dir) |(no dir)  |
X Dir Not Exist   |Tiger Pupil 000 - surfaces_timestamps.npy   |tiger/pupil_recorder/000        |surfaces_timestamps.npy   |200K    |800K    |1        |1        |(no dir) |(no dir)  |
X Dir Not Exist   |Tiger Pupil 000 - user_info.csv             |tiger/pupil_recorder/000        |user_info.csv             |10      |100K    |1        |1        |(no dir) |(no dir)  |
X Dir Not Exist   |Tiger Pupil 000 - world.intrinsics          |tiger/pupil_recorder/000        |world.intrinsics          |100     |800     |1        |1        |(no dir) |(no dir)  |
X Dir Not Exist   |Tiger Pupil 000 - world.mp4                 |tiger/pupil_recorder/000        |world.mp4                 |4G      |20G     |1        |1        |(no dir) |(no dir)  |
X Dir Not Exist   |Tiger Pupil 000 - world_timestamps.npy      |tiger/pupil_recorder/000        |world_timestamps.npy      |200K    |900K    |1        |1        |(no dir) |(no dir)  |
..
Leopard Pupil Recorder Files Block 000:                        |                                |                          |        |        |         |         |         |          |
X Dir Not Exist   |Leopard Pupil 000 - blinks.pldata           |leopard/pupil_recorder/000      |blinks.pldata             |1M      |100M    |1        |1        |(no dir) |(no dir)  |
X Dir Not Exist   |Leopard Pupil 000 - blinks_timestamps.npy   |leopard/pupil_recorder/000      |blinks_timestamps.npy     |1K      |100K    |1        |1        |(no dir) |(no dir)  |
X Dir Not Exist   |Leopard Pupil 000 - eye0.intrinsics         |leopard/pupil_recorder/000      |eye0.intrinsics           |100     |400     |1        |1        |(no dir) |(no dir)  |
X Dir Not Exist   |Leopard Pupil 000 - eye0.mp4                |leopard/pupil_recorder/000      |eye0.mp4                  |1G      |6G      |1        |1        |(no dir) |(no dir)  |
X Dir Not Exist   |Leopard Pupil 000 - eye0_timestamps.npy     |leopard/pupil_recorder/000      |eye0_timestamps.npy       |1M      |8M      |1        |1        |(no dir) |(no dir)  |
X Dir Not Exist   |Leopard Pupil 000 - eye1.intrinsics         |leopard/pupil_recorder/000      |eye1.intrinsics           |100     |400     |1        |1        |(no dir) |(no dir)  |
X Dir Not Exist   |Leopard Pupil 000 - eye1.mp4                |leopard/pupil_recorder/000      |eye1.mp4                  |1G      |6G      |1        |1        |(no dir) |(no dir)  |
X Dir Not Exist   |Leopard Pupil 000 - eye1_timestamps.npy     |leopard/pupil_recorder/000      |eye1_timestamps.npy       |1M      |8M      |1        |1        |(no dir) |(no dir)  |
X Dir Not Exist   |Leopard Pupil 000 - fixations.pldata        |leopard/pupil_recorder/000      |fixations.pldata          |1M      |100M    |1        |1        |(no dir) |(no dir)  |
X Dir Not Exist   |Leopard Pupil 000 - fixations_timestamps.npy|leopard/pupil_recorder/000      |fixations_timestamps.npy  |10K     |500K    |1        |1        |(no dir) |(no dir)  |
X Dir Not Exist   |Leopard Pupil 000 - gaze.pldata             |leopard/pupil_recorder/000      |gaze.pldata               |500M    |800M    |1        |1        |(no dir) |(no dir)  |
X Dir Not Exist   |Leopard Pupil 000 - gaze_timestamps.npy     |leopard/pupil_recorder/000      |gaze_timestamps.npy       |2M      |7M      |1        |1        |(no dir) |(no dir)  |
X Dir Not Exist   |Leopard Pupil 000 - info.player.json        |leopard/pupil_recorder/000      |info.player.json          |100     |800     |1        |1        |(no dir) |(no dir)  |
X Dir Not Exist   |Leopard Pupil 000 - notify.pldata           |leopard/pupil_recorder/000      |notify.pldata             |1M      |5M      |1        |1        |(no dir) |(no dir)  |
